Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1961","1961","kg/ha","1937.5","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1962","1962","kg/ha","1934.2","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1963","1963","kg/ha","1934.9","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1964","1964","kg/ha","1999.1","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1965","1965","kg/ha","1986.5","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1966","1966","kg/ha","1824.8","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1967","1967","kg/ha","1836.1","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1968","1968","kg/ha","1874.5","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1969","1969","kg/ha","1910.4","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1970","1970","kg/ha","1948.6","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1971","1971","kg/ha","1952","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1972","1972","kg/ha","1763.3","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1973","1973","kg/ha","1969","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1974","1974","kg/ha","1977.9","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1975","1975","kg/ha","2074.2","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1976","1976","kg/ha","1891.4","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1977","1977","kg/ha","1805.6","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1978","1978","kg/ha","1852.7","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1979","1979","kg/ha","1642.4","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1980","1980","kg/ha","1932","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1981","1981","kg/ha","1974.6","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1982","1982","kg/ha","1448.9","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1983","1983","kg/ha","2066.4","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1984","1984","kg/ha","1967.8","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1985","1985","kg/ha","2016.1","A","Official figure",""
"QCL","Crops and livestock products","524","Nepal","5412","Yield","0113","Rice","1986","1986","kg/ha","1779","A","Official figure",""
