Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1961","1961","t","133","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1962","1962","t","407","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1963","1963","t","600","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1964","1964","t","800","X","Figure from external organization","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1965","1965","t","1000","X","Figure from external organization","Data sourced from another international organization"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1966","1966","t","2109","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1967","1967","t","1805","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1968","1968","t","2322","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1969","1969","t","3347","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1970","1970","t","4091","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1971","1971","t","5554","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1972","1972","t","7713","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1973","1973","t","9002","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1974","1974","t","8961","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1975","1975","t","8421","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1976","1976","t","10687","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1977","1977","t","13012","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1978","1978","t","13746","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1979","1979","t","15479","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1980","1980","t","16768","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1981","1981","t","17976","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1982","1982","t","22882","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1983","1983","t","28058","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1984","1984","t","31656","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1985","1985","t","31699","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1986","1986","t","32899","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1987","1987","t","38113","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1988","1988","t","39801","A","Official figure","Official data from questionnaire"
"RFN","Fertilizers by Nutrient","524","Nepal","5157","Agricultural Use","3102","Nutrient nitrogen N (total)","1989","1989","t","49274","A","Official figure","Official data from questionnaire"
