year,rice_yield_kgha,tas_mean,tasmax,tasmin,rainfall_mm,humidity_pct,hot_days,frost_days,heavy_rain_days,nitrogen_tonnes,phosphate_tonnes,potash_tonnes
1963,1934.9,11.69,16.92,6.72,2387.66,70.99,7.01,93.89,6.46,600,9.0,22.0
1964,1999.1,12.35,17.79,6.79,2101.51,65.65,17.8,95.84,6.01,800,180.0,42.0
1965,1986.5,11.53,16.73,6.03,1862.3,67.07,14.53,102.31,4.66,1000,99.0,10.0
1966,1824.8,12.11,17.3,6.68,2060.59,67.04,16.15,95.17,5.98,2109,1187.0,104.0
1967,1836.1,11.65,16.46,6.4,2015.54,69.38,8.06,94.67,4.98,1805,678.0,167.0
1968,1874.5,11.51,16.08,6.69,2143.61,71.09,7.57,96.07,5.97,2322,588.0,159.0
1969,1910.4,12.13,16.76,7.33,1818.46,70.94,7.28,92.06,3.33,3347,1001.0,157.0
1970,1948.6,12.33,16.93,7.6,2103.79,71.07,7.73,88.22,5.41,4091,1054.0,214.0
1971,1952.0,11.76,16.13,7.28,2320.56,73.98,0.8,87.54,5.38,5554,1952.0,462.0
1972,1763.3,12.19,17.09,7.05,1968.77,69.23,14.24,94.43,5.83,7713,1851.0,1052.0
1973,1969.0,12.25,17.08,7.15,2562.34,71.22,11.03,93.1,8.39,9002,2453.0,918.0
1974,1977.9,12.21,17.33,6.7,1914.82,69.99,11.06,96.58,4.74,8961,2849.0,886.0
1975,2074.2,12.29,17.29,6.88,2119.96,69.24,13.87,96.04,5.33,8421,2489.0,1350.0
1976,1891.4,12.33,17.58,6.83,1876.43,69.92,7.99,94.44,3.74,10687,2768.0,1422.0
1977,1805.6,12.54,17.65,7.2,1777.68,70.98,9.01,91.55,2.78,13012,3383.0,1072.0
1978,1852.7,12.05,17.19,6.76,1975.62,71.57,7.74,94.74,4.32,13746,3341.0,1456.0
1979,1642.4,12.48,17.51,6.68,1762.3,68.88,13.83,97.5,3.78,15479,4284.0,1191.0
1980,1932.0,12.42,17.82,6.78,1816.5,70.19,12.44,95.9,2.8,16768,5105.0,586.0
1981,1974.6,11.75,16.96,6.33,2000.83,72.14,5.61,97.1,4.62,17976,5073.0,775.0
1982,1448.9,11.92,17.15,6.42,1706.24,71.38,10.34,99.84,2.74,22882,7459.0,938.0
1983,2066.4,11.71,17.15,5.93,1791.81,70.37,9.26,101.72,3.11,28058,8463.0,779.0
1984,1967.8,12.4,17.74,6.8,2051.93,69.83,9.27,94.86,5.4,31656,10623.0,1200.0
1985,2016.1,12.52,17.59,7.12,1971.74,70.69,11.44,91.97,4.12,31699,11053.0,657.0
1986,1779.0,11.95,17.24,6.38,1865.51,70.32,10.4,98.83,3.8,32899,11942.0,210.0
1987,2095.0,12.56,17.86,6.98,1956.19,69.66,14.58,94.22,5.75,38113,15210.0,858.0
1988,2263.5,12.98,18.21,7.44,2109.28,69.76,11.64,91.02,5.96,39801,15268.0,1222.0
1989,2365.7,12.13,17.41,6.58,1954.31,69.35,11.49,96.79,4.86,49274,16771.0,1337.0
1990,2406.7,12.42,17.52,7.13,2221.05,72.74,6.04,91.0,4.47,51837,19105.0,1570.0
1991,2048.1,12.29,17.59,6.7,1760.99,70.87,11.08,96.1,3.06,57000,22700.0,1400.0
1992,2410.0,12.19,17.55,6.6,1573.52,70.38,12.37,96.43,2.15,59400,21400.0,1203.0
1993,2123.7,12.63,17.66,7.44,2057.83,73.36,5.9,89.34,4.19,55259,17000.0,1277.0
1994,2391.0,12.71,18.0,7.06,1775.78,71.12,12.05,93.39,3.08,66400,24900.0,1700.0
1995,2455.4,12.53,17.53,7.06,2107.32,71.93,14.45,92.76,5.84,70000,21300.0,2399.0
1996,2417.0,12.52,17.65,7.12,2075.27,72.59,12.65,93.94,4.75,75000,25000.0,3000.0
1997,2443.4,11.55,16.53,6.15,1950.29,73.31,7.25,99.7,4.11,77400,28500.0,1600.0
1998,2472.2,12.89,17.73,7.83,2256.06,73.87,8.33,87.16,6.48,87400,32300.0,1800.0
1999,2702.8,13.12,18.18,7.73,2009.83,71.78,9.65,86.02,5.27,62000,30400.0,2000.0
2000,2745.4,12.3,17.32,7.13,2139.64,74.0,5.11,91.07,4.66,51771,18161.0,3082.0
2001,2675.4,12.67,17.77,7.41,1850.7,73.32,5.03,88.76,3.08,47204,24513.0,809.0
2002,2675.3,12.44,17.32,7.24,2038.11,73.44,3.33,92.32,4.75,21838,15332.0,1780.0
2003,2857.3,12.43,17.32,7.28,2163.77,73.02,7.94,91.14,5.3,5465,5233.0,1013.0
2004,2782.5,12.66,17.65,7.44,1896.43,73.79,6.93,88.82,3.72,8118,8941.0,1399.0
2005,2716.6,12.68,17.87,7.22,1787.02,70.98,13.09,93.52,4.02,2856,4994.0,287.0
2007,2775.0,12.85,17.76,7.73,2403.95,73.11,9.53,87.92,7.99,1939,1342.0,323.0
2008,2907.4,12.73,17.79,7.6,2133.82,72.55,8.86,89.31,4.99,2790,240.0,0.0
2009,2716.4,13.23,18.58,7.7,1825.23,69.99,11.93,88.35,5.08,28331,11597.0,118.0
2010,2980.5,13.36,18.6,8.03,2138.95,71.21,14.23,85.98,6.15,43148,10130.0,1411.0
2011,3312.0,12.51,17.53,7.43,2212.61,73.36,4.74,89.12,5.72,54769,21439.0,1238.0
2012,3170.9,12.31,17.59,6.81,1959.76,70.34,14.5,95.35,5.71,45950,9246.0,1344.0
2013,3394.2,12.71,17.66,7.5,2223.22,72.32,6.97,89.52,5.86,78287,34379.0,2431.0
2014,3359.6,12.51,17.82,7.3,1934.23,71.9,12.88,91.25,4.29,96718,41940.0,3743.0
2015,3154.3,12.67,17.77,7.73,1828.32,73.26,9.46,90.3,3.81,105798,46827.0,4030.0
2016,3369.0,13.56,18.91,8.49,2142.34,72.97,9.49,82.3,5.03,105723,46827.0,5304.0
2017,3505.8,13.24,18.62,8.23,2066.7,73.82,8.96,84.02,5.11,91634,40265.0,6577.0
